id,total_words,lexicality,avg_zipf
ark:/67375/6GQ-4ZGVHJB2-H,6835,47.92977322604243,4.645131257631258
ark:/67375/6GQ-FVBZ3WLZ-8,2798,48.03431022158684,4.326078869047619
ark:/67375/6GQ-MH5WB1V9-0,2358,45.3774385072095,4.065654205607476
ark:/67375/6GQ-ZBHCNM20-J,2538,49.133175728920406,4.4671772253408175
ark:/67375/6H6-0PSPSJPC-G,2929,49.8122226015705,4.475428375599726
ark:/67375/6H6-CR3F1WM2-W,3710,33.0188679245283,4.783134693877551
ark:/67375/6H6-JC376T4V-J,522,48.85057471264368,4.375098039215687
ark:/67375/6H6-JCPT9DW8-G,557,48.83303411131059,4.340735294117647
ark:/67375/6H6-KKT2HM86-B,963,39.46002076843199,4.958078947368421
ark:/67375/6H6-LMTMXDR1-9,2667,37.38282714660667,4.69641925777332
ark:/67375/6H6-VS50QP2N-N,2112,35.60606060606061,4.8098936170212765
ark:/67375/6H6-XMTF9LTN-L,2465,45.27383367139959,4.109946236559139
ark:/67375/6S2-L286D370-K,999,43.04304304304304,4.526860465116279
ark:/67375/HXZ-47ZV5GQ9-2,1286,45.25660964230171,5.127216494845361
ark:/67375/HXZ-M0G7D02L-F,2087,44.27407762338285,4.966179653679654
ark:/67375/JKT-05KP5D4J-5,1097,48.22242479489517,4.44289224952741
ark:/67375/JKT-06WF3LPL-G,3135,46.09250398724083,4.112595155709342
ark:/67375/JKT-0BTSPVWH-D,1300,48.0,4.353525641025641
ark:/67375/JKT-0CGN9BLF-V,1388,46.90201729106629,4.445207373271889
ark:/67375/JKT-0NT35D1X-S,1098,45.3551912568306,4.082570281124498
ark:/67375/JKT-12321J3B-5,1072,45.7089552238806,4.01634693877551
ark:/67375/JKT-15QK29MD-C,3881,47.4619943313579,4.493175895765472
ark:/67375/JKT-18KJLQZG-6,5683,48.21397149392927,4.353540145985401
ark:/67375/JKT-1GT2CNGL-6,1676,43.25775656324583,4.243903448275862
ark:/67375/JKT-1H45JXZQ-K,2377,49.768615902397976,4.471411665257819
ark:/67375/JKT-1PMZRH4C-8,1347,40.6829992576095,4.054963503649635
ark:/67375/JKT-1R1GSNDB-K,1898,43.203371970495255,3.923317073170732
ark:/67375/JKT-2CCQC70P-W,1448,46.33977900552486,4.309552906110283
ark:/67375/JKT-2FZK24QM-S,1200,46.66666666666666,4.133321428571429
ark:/67375/JKT-2S13FZ3T-Q,1602,49.93757802746567,4.5123625
ark:/67375/JKT-2XJW8J3M-Q,8585,43.99534071054164,4.104334127614509
