id,genre,lang,lang_prob
ark:/67375/6S2-0GCHB8GX-R,article,es,0.9393879175186157
ark:/67375/6S2-7LTJWM0B-M,article,el,0.9660894870758057
ark:/67375/6S2-853828FG-0,article,es,0.8250971436500549
ark:/67375/6S2-GFBXCRQ7-P,article,el,0.977681577205658
ark:/67375/6S2-P2DMCDGH-D,article,pt,0.7469164729118347
ark:/67375/6S2-VGQ9VKT3-H,article,es,0.7956166863441467
ark:/67375/6S2-VGVKGH5G-W,article,es,0.8897519111633301
ark:/67375/6S2-VJDJDMD9-V,article,pt,0.4751151502132416
ark:/67375/M70-29VX1K5Q-3,research-article,fr,0.959493100643158
ark:/67375/M70-2G3ZCFDB-9,other,fr,0.9765510559082031
ark:/67375/M70-2H20M1ZC-K,other,fr,0.9692633748054504
ark:/67375/M70-2JB7BTW8-B,other,fr,0.939842939376831
ark:/67375/M70-BG8FHQ1P-F,research-article,fr,0.943744421005249
ark:/67375/M70-BKG7BZ6N-9,research-article,fr,0.9570361375808716
ark:/67375/M70-FP8P4BDH-S,research-article,fr,0.9385837316513062
ark:/67375/M70-FQXPP0K7-D,research-article,fr,0.927920937538147
ark:/67375/M70-G2702LWM-H,research-article,fr,0.9566403031349182
ark:/67375/M70-L6H29NMD-0,other,fr,0.9184744358062744
ark:/67375/M70-NS8K85L7-F,research-article,fr,0.9355705976486206
ark:/67375/M70-NW4H2CCM-8,research-article,fr,0.9515886902809143
ark:/67375/M70-NWGTKQBF-V,other,fr,0.2432326078414917
ark:/67375/M70-TM6LQ0TR-P,research-article,fr,0.9603301882743835
ark:/67375/M70-Z2PLS26G-7,other,fr,0.9716795086860657
ark:/67375/M70-ZB6GRVQ8-C,research-article,fr,0.950389564037323
ark:/67375/M70-ZBMB6GP3-D,research-article,fr,0.9484198093414307
ark:/67375/M70-ZCGTPT5Z-D,research-article,fr,0.9611489772796631
ark:/67375/M70-0B6NVWBH-K,research-article,fr,0.9565861821174622
ark:/67375/HCB-57QJDJFX-C,chapter,uk,0.198714941740036
ark:/67375/HCB-FKJ3RD7X-L,article,fr,0.8759133815765381
ark:/67375/HCB-N75J4LNW-2,article,fr,0.8219358325004578
ark:/67375/HCB-N9WWFL4H-P,chapter,uk,0.20053419470787048
ark:/67375/HCB-V1LC9CD6-B,article,fr,0.9602820873260498
ark:/67375/HXZ-2PZGMGZV-Z,research-article,fr,0.5928980112075806
ark:/67375/WNG-4X2PZ8MW-D,article,de,0.9622645378112793
ark:/67375/WNG-5FJ8H3GB-N,article,cs,0.11231593787670135
ark:/67375/WNG-5Z93724T-H,article,fr,0.7029069066047668
ark:/67375/WNG-68096PW2-K,article,fr,0.8495380878448486
ark:/67375/WNG-680XP0G8-K,article,ru,0.1468725949525833
ark:/67375/WNG-7G0HL2SB-C,article,de,0.9925475120544434
ark:/67375/6H6-P9JN1S1K-D,other,de,0.748401403427124
ark:/67375/6H6-PG2QNCBX-8,conference,sr,0.1333031952381134
ark:/67375/HXZ-H8R3X6HN-W,research-article,fr,0.6330874562263489
ark:/67375/HXZ-HC8LXHQ4-K,research-article,fr,0.9568536281585693
ark:/67375/HXZ-P7MC5429-T,research-article,uk,0.12444604188203812
ark:/67375/HXZ-RJWC04HM-1,research-article,fr,0.7806949019432068
ark:/67375/HXZ-T9ZPDCS7-L,research-article,uk,0.09363629668951035
ark:/67375/JKT-JK276BHF-8,research-article,it,0.9380590915679932
ark:/67375/JKT-JLQ9ZZ37-C,research-article,it,0.9522110223770142
ark:/67375/JKT-JMFMHM5Z-D,research-article,de,0.3195208013057709
ark:/67375/JKT-JQ9RR05G-4,research-article,fr,0.9738560914993286
ark:/67375/JKT-JQL9P8FJ-R,research-article,de,0.9343866109848022
ark:/67375/JKT-JRXNQQL9-W,research-article,it,0.9265849590301514
ark:/67375/JKT-JXLWTQGR-G,research-article,it,0.8156871199607849
ark:/67375/JKT-K1S52JWX-K,research-article,it,0.955236554145813
ark:/67375/JKT-K31K2JCX-L,research-article,de,0.9506643414497375
ark:/67375/JKT-K4KZWFRJ-M,research-article,it,0.9084565043449402
ark:/67375/JKT-KG7MRT0F-2,research-article,it,0.9688661694526672
ark:/67375/JKT-KGP7M8KK-C,research-article,it,0.9736815094947815
ark:/67375/JKT-KHPBWNGL-0,research-article,it,0.9004451632499695
ark:/67375/JKT-KJJP2V7F-P,research-article,de,0.9894538521766663
ark:/67375/JKT-KJVPJMNN-D,research-article,it,0.8960070013999939
ark:/67375/JKT-KLD665R6-3,research-article,de,0.9486727714538574
ark:/67375/JKT-KLSSX7ZK-1,research-article,fr,0.9533397555351257
ark:/67375/JKT-KNGWP466-F,research-article,it,0.9260502457618713
ark:/67375/JKT-KRGGKF5T-B,research-article,it,0.9643173217773438
ark:/67375/JKT-KVKHFWNS-L,research-article,fr,0.9501575231552124
ark:/67375/JKT-KVR921QK-R,research-article,it,0.9615139365196228
ark:/67375/JKT-L0TR70XT-P,research-article,it,0.9620349407196045
ark:/67375/JKT-L1SMC5XH-S,research-article,it,0.8686577081680298
ark:/67375/JKT-L6MM5ZZD-4,research-article,it,0.8707457184791565
ark:/67375/JKT-L7QTNJWB-B,research-article,it,0.9536579251289368
ark:/67375/JKT-L94H0K56-2,research-article,it,0.9574565887451172
ark:/67375/JKT-LHVC0XMD-V,research-article,it,0.9691709280014038
ark:/67375/JKT-LLD73SCM-9,research-article,it,0.8056188821792603
ark:/67375/JKT-LNHLN7KW-5,research-article,it,0.9373717904090881
ark:/67375/JKT-LQ97HZDJ-Z,research-article,it,0.9749377369880676
ark:/67375/JKT-LX7QNF13-H,research-article,fr,0.9492109417915344
ark:/67375/M70-061XBT3L-T,other,fr,0.9674551486968994
ark:/67375/M70-0CRN10ZT-J,research-article,fr,0.9416283369064331
ark:/67375/M70-3CPB4HPD-2,other,fr,0.947390615940094
ark:/67375/M70-3F2DC7KB-S,research-article,fr,0.8896991610527039
ark:/67375/M70-9XZXL2L1-9,other,fr,0.9727526903152466
ark:/67375/M70-KKQBG047-S,research-article,fr,0.9571738243103027
ark:/67375/M70-N7RCLLFM-5,research-article,fr,0.9638692736625671
ark:/67375/M70-3HZFKSGZ-X,research-article,fr,0.9491246342658997
ark:/67375/M70-3JVD8DRV-5,research-article,fr,0.966601550579071
ark:/67375/M70-6VHNWPNG-3,other,fr,0.6576103568077087
ark:/67375/M70-FFNBS7XV-8,other,fr,0.9460919499397278
ark:/67375/M70-FGJFQWB4-2,research-article,fr,0.9286088347434998
ark:/67375/M70-K5NZK342-P,research-article,fr,0.9582086801528931
ark:/67375/M70-K81NF361-V,research-article,fr,0.9329667091369629
ark:/67375/M70-K8K75CFP-Z,other,fr,0.9635845422744751
ark:/67375/M70-KDJ0F6ZR-B,research-article,fr,0.9566793441772461
ark:/67375/M70-NDBDPV8B-6,research-article,fr,0.9162019491195679
ark:/67375/M70-NKL9WGJ6-G,other,fr,0.9603242874145508
ark:/67375/M70-RV423J71-S,research-article,fr,0.9590606093406677
ark:/67375/M70-WCHNKK7G-P,research-article,fr,0.9713334441184998
ark:/67375/M70-WHND0K2P-J,research-article,fr,0.949984073638916
ark:/67375/M70-WKPM37VJ-B,research-article,fr,0.9391995072364807
ark:/67375/0T8-QV7NLJ4R-2,other,fr,0.9465323090553284
ark:/67375/HXZ-797CGKX3-N,research-article,fr,0.9252870678901672
ark:/67375/HXZ-9937PQPS-8,research-article,fr,0.5234887599945068
ark:/67375/HXZ-C9JJFZVH-Q,research-article,de,0.4967401325702667
ark:/67375/HXZ-FPNXMK02-N,research-article,fr,0.4385160505771637
ark:/67375/VQC-3NBSFL8T-6,article,pt,0.2630470097064972
ark:/67375/VQC-8T4S7N6V-1,article,de,0.9922137260437012
ark:/67375/VQC-B3TQD990-V,article,de,0.754623293876648
ark:/67375/VQC-GJCB8FG3-P,article,uk,0.6838720440864563
ark:/67375/6GQ-4ZGVHJB2-H,other,it,0.9213462471961975
ark:/67375/6GQ-PJQSQ0R4-J,book-reviews,fr,0.9613420367240906
ark:/67375/VQC-7VD18F5F-J,research-article,de,0.9789124727249146
ark:/67375/VQC-MCXDRNQ8-0,research-article,fr,0.9618043899536133
